temp,humidity,pressure,slot,target
25.4,77.8,1010.4,1,40
26.5,77,1009.5,1,30
26.7,66.3,1012.1,1,41
25.1,67.5,1012.3,1,38
26.2,69.6,1011.6,1,45
26,75.6,1011.7,1,27
22.6,79.2,1009.6,1,49
27,73.4,1011.7,1,46
25.6,71.7,1012,1,12
25.7,67.3,1014.2,1,11
25.6,76.7,1010.7,1,1
26.3,80.8,1010.7,1,47
25.6,63.6,1014.7,1,20
25.4,62.6,1015.1,1,6
25.9,64.8,1012.8,1,19
25.8,77.1,1012,1,2
26.1,68.8,1011.6,1,13
26.4,77.6,1010,1,7
27.1,77.3,1011.8,1,23
27.1,64.3,1010.5,1,16
26.1,71.4,1012.5,1,1
26.2,63,1012.8,1,5
27,61.7,1011,1,6
28,67.1,1010.7,1,4
27,64.8,1011.7,1,31
27.2,61.3,1009.7,1,26
27.1,67.6,1012,1,24
28.1,58.7,1012.4,1,24
26.8,60.3,1013.5,1,43
26.8,76.7,1013.2,1,15
26.8,61.7,1013.4,1,18
27.7,64.8,1009.9,1,42
27.5,83.8,1009.8,1,27
28.3,64.8,1014.7,1,16
28.8,60.9,1011.2,1,34
29.4,62,1011,1,38
28.2,58.3,1009.1,1,33
29,59.8,1010.2,1,44
29,61.2,1010.7,1,48
29.3,63.8,1009.7,1,40
29.9,68,1011.4,1,18
27.2,55.3,1011.2,1,46
27.8,68.4,1012.5,1,38
30.8,67.8,1008.6,1,1
30,70.5,1009.1,1,10
28.8,57,968.4,1,8
28.5,58.8,1009.8,1,15
30.1,62.6,1008.9,1,24
30.4,69.5,1008.6,1,13
30.5,66.2,1008.3,1,11
30.9,62.7,1007,1,34
30.2,69.4,1007.7,1,10
29.7,76.9,1046.5,1,27
31,68.8,1008.7,1,38
31,59.1,1010.2,1,42
31,59.5,1007.3,1,26
30.5,68.9,1008.3,1,35
30.9,72.4,1009.2,1,48
30.4,78.2,1008.2,1,45
29.4,69,1009.2,1,1
30,71.1,1006.9,1,18
30.1,71.7,1007.6,1,49
31.9,60.1,1007.8,1,30
30.6,69.5,1007.2,1,37
30.8,69.5,1007.4,1,39
30,78.7,1006.9,1,13
30.9,69.5,1007.4,1,29
31.4,62.6,1006.6,1,27
30.8,66.4,1006.2,1,36
28.8,84.5,1005.3,1,49
28,87.1,1006.6,1,22
29.1,76.5,1008,1,4
30.2,74,1008.2,1,13
29.8,76.6,1009.5,1,14
28.8,83.1,1007.3,1,42
29.6,80,1004.6,1,27
25.5,99.3,999.9,1,11
27.4,91.3,1001.5,1,18
25.8,99.8,1000.9,1,25
28.5,83.9,1004.9,1,4
29.8,76,1004.3,1,17
28.9,79.7,1004.6,1,29
30.1,73,1007,1,30
30,66.4,1009.7,1,41
27.9,83.9,1009.6,1,6
27.6,81.5,1010.8,1,43
28.4,75.5,1010.8,1,8
28.6,74.1,1008.5,1,25
29.3,72.1,1007.5,1,15
28.8,79.6,1005.3,1,18
28.7,87,1001.1,1,42
27.6,91.9,1004.5,1,21
29,82.2,1008.4,1,34
28.7,86.3,1008.3,1,8
30.3,75.6,1008.2,1,29
29.2,78.8,1006.5,1,5
28.1,84.5,1003,1,26
27,91.1,1004.1,1,42
26.5,85.9,1008.5,1,29
28.5,80.7,1009.1,1,3
27.9,79.6,1008.2,1,7
29,77,1008.1,1,7
29.4,81.1,1009.7,1,17
28.4,88.3,1007.6,1,49
29,84.6,1006.1,1,5
27.5,92.6,1007.9,1,16
28.3,86.1,1007.7,1,43
27.8,89.9,1009.5,1,13
28.6,81.1,1006.1,1,35
28.6,85.8,1006.8,1,25
28.7,87.2,1004.5,1,18
28.7,89.8,1003.9,1,4
28.4,86.8,1008,1,35
27.3,92.7,1008.4,1,32
26.9,92.5,1012.6,1,7
28.6,85.8,1009.4,1,13
29.1,80.8,1008.7,1,27
29.3,76.8,1010,1,22
28.4,83.8,1010.3,1,38
28.8,75.3,1006.2,1,49
28,94.3,995.9,1,49
28.3,82.8,1002.8,1,5
27.7,87.4,1006.3,1,3
29.2,75,1010.8,1,24
29.3,72.7,1010.7,1,7
28.7,63.8,1012.1,1,6
28.1,77,1011,1,48
28.8,77.3,1010.3,1,9
29.3,75.8,1009.6,1,11
29.5,69.6,1010.8,1,27
29,73.6,1009.6,1,42
29,71.6,1011.3,1,30
28.5,74.2,1010.1,1,27
29.4,68.5,1010.2,1,46
29.2,65.7,1010.7,1,8
29,69.3,1008.5,1,7
28,73.8,1007.3,1,21
28.3,67.2,1008.7,1,33
28.6,75.1,1012.8,1,7
27.7,77.7,1010.4,1,48
28.3,66.6,1011.5,1,34
28.6,77,1011.1,1,8
29,71.1,1011.5,1,32
27.3,94.2,1008.9,1,4
29.6,70.6,1010.1,1,44
28.6,72.6,1008.7,1,5
25.8,97.4,1004,1,32
25.3,79.9,1008.1,1,19
26.5,88,1011.4,1,14
27.8,75.7,1013.7,1,22
27.7,71.5,1012.3,1,24
26.7,75,1014.8,1,6
25.5,67.5,1014.7,1,2
26,84.5,1013.8,1,28
27.8,76.2,1013.8,1,19
27.5,72.2,1013.1,1,27
26.6,66.3,1013.1,1,15
27.6,70.3,1012.5,1,8
28.4,67.4,1011.6,1,46
27.8,73.9,1011.1,1,20
28.2,69.1,1008.7,1,47
28.5,70.5,1011.2,1,38
28.3,66.9,1012.5,1,29
27.4,70.3,1013.6,1,28
26.5,64.1,1015.9,1,10
26.8,64.2,1013.1,1,39
28.5,70.5,1011.5,1,44
28,64.7,1010.3,1,21
27.9,76.8,1010.9,1,19
25.5,79.1,1011.9,1,7
25.9,70.4,1012.7,1,14
27.2,68.6,1012,1,31
26.4,67.6,1011.5,1,38
27.6,65.8,1013.8,1,3
26.7,68.9,1013.7,1,1
27.4,71.2,1014.1,1,38
28.1,64.7,1013.3,1,32
27.6,63.5,1015.1,1,33
27.3,70.4,1014.1,1,1
27.4,67.6,1012.9,1,9
26.6,65.3,1013.2,1,31
28.7,80.6,1010.4,1,13
29.7,66.4,1009.7,1,16
30.1,66,1010.9,1,8
29.1,63.5,1011.4,1,34
28.8,68.8,1009.9,1,20
28,62,1010.5,1,47
29.3,60.1,1010.2,1,10
29.5,64.2,1008.8,1,42
28.1,66.4,1014.5,1,5
29.4,66.7,1011.7,1,22
29.8,61.3,1011.5,1,32
29.1,68.7,1010.8,1,49
30.3,61.9,1011.3,1,25
29.4,54.6,1009,1,15
31.3,62.6,1007.5,1,37
30.9,70.8,1008.6,1,31
31,60.8,1009.7,1,22
30.9,61.7,1011,1,5
31,60.4,1009.9,1,34
31.2,60,1008.1,1,25
30.9,58.8,1008.2,1,31
30.5,74.3,1007.4,1,17
32,65.4,1008.7,1,30
32,60.2,1008.7,1,32
31.3,61.1,1009.1,1,41
31.6,59.3,1008.9,1,6
32,57.7,1007.7,1,35
30.1,61.6,964.4,1,21
31.2,62.3,1007.5,1,40
29.1,70.8,1006.7,1,48
29.6,79.3,1006.7,1,25
30.3,75.4,1007.4,1,8
30.3,78.4,1007,1,24
29.5,82.5,1008,1,39
29.9,85.1,1008,1,6
29.7,83,1008.6,1,20
29.1,88,1007.1,1,21
31.1,73.4,1008.4,1,40
27.5,81.8,1008.7,1,46
29.1,85.3,1008.2,1,19
28.6,82.6,1008.7,1,40
29.9,79.7,1007.2,1,7
29.8,82,1007.3,1,25
30.7,72.5,1006.9,1,11
30.2,74.5,1007.3,1,19
28.2,77.7,1006.5,1,41
28.4,88.8,1006.9,1,34
29.2,84.3,1008.4,1,6
28.7,83,1009.1,1,1
27.6,90.7,1008.4,1,46
28.1,87.9,1005.5,1,32
27.4,91.5,1003.6,1,11
27.4,89.9,1006,1,18
28.6,86.9,1007.6,1,1
29.1,91.2,1007.2,1,26
30.3,78.7,1008.1,1,40
30.3,73.7,1007.7,1,8
29.5,75.5,1008.5,1,48
28.3,81.7,1006,1,32
30.6,76.2,1006.7,1,11
30.5,70.3,1007.1,1,48
27.7,95.1,1000.8,1,16
27.8,91.7,1004.9,1,2
29.3,84.7,1006.6,1,30
27,80,1003.8,1,33
25.3,99.8,1003,1,24
27.3,95.2,1004.8,1,17
28,91.4,1002.6,1,40
28.9,91.9,1003.5,1,14
29.5,83.7,1003.5,1,18
27.7,95.2,1000.9,1,13
28.7,85.6,1001.9,1,2
27.7,98.2,1004.4,1,48
27.8,94.9,1007.2,1,36
28.1,93.3,1008.1,1,47
28.8,89.7,1007.3,1,23
27.3,96.2,1006.6,1,4
29.5,82.5,1009,1,13
28.7,85.7,1008.4,1,47
30.1,77.9,1005.8,1,38
28.6,85.6,1006.1,1,38
28,93,1004.5,1,31
28.8,88.7,1005.8,1,22
27.5,93.8,1006.8,1,13
28.7,88.1,1008.3,1,15
28.5,92.4,1003.1,1,26
28.1,90.5,1003.1,1,34
26.2,97.4,1006.6,1,38
28.8,87.5,1006.5,1,4
26.2,94.8,965.1,1,29
27,91.7,1004.8,1,4
28.6,89.7,1007,1,1
26.2,88.2,1006.8,1,41
27,95.4,1006.7,1,43
27.3,95.3,1000.9,1,47
29.1,83.5,1006.1,1,25
29.2,80.5,1001.3,1,30
30.3,76.7,1007.4,1,41
29.7,67.5,1008.5,1,15
29.1,79.5,1010.3,1,42
29.6,69.7,1009.4,1,7
27.4,82.3,1008,1,35
27.2,91,1007,1,46
28.1,84.1,1009.5,1,11
27.9,66.3,1011.2,1,29
27.1,73,1010.7,1,42
28.2,72.2,1010.2,1,23
26.1,94.7,1008.2,1,41
29,80.5,1008.7,1,33
28.9,79.8,1008.5,1,49
26.8,73.3,1008.3,1,48
27.8,69.4,1007.7,1,22
28.7,88.2,1006.7,1,19
28.9,75.7,1011,1,38
27,72.3,1011.1,1,32
28.5,74.3,1009.6,1,31
28.6,73,1009.3,1,37
27.7,83.4,1005.4,1,28
27.9,83,1006.5,1,42
26.4,98.6,1007.4,1,20
27,87.9,1009.7,1,33
26,91.7,1011.9,1,32
28.3,75.4,1009.5,1,4
27.8,71.5,1008.9,1,5
28.7,84.5,1006.4,1,43
28.8,76.8,1009.6,1,46
28.1,64,1009.9,1,21
26.7,82.3,1009,1,46
26.1,76.5,1007.5,1,27
26,87.8,1008.3,1,22
26.7,82.2,1008,1,33
26.9,82.5,1009.1,1,16
26.6,65.9,1012,1,29
26.6,69.5,1013,1,22
26.6,76.4,1013.7,1,37
25.2,90.9,1014.2,1,10
25.3,83.3,1012.5,1,35
26.4,74.7,1010,1,19
27.8,82,1008.3,1,17
26.3,92.5,1010.5,1,1
26.5,71.5,1006.4,1,3
27.4,58.5,1008,1,8
26.4,77.7,1008.3,1,24
25.5,63.3,1015.6,1,3
24.3,60,1018.4,1,27
25.5,65.8,1014.6,1,4
24.6,86.1,1011.9,1,13
27.8,76.1,1012.1,1,2
28,71.2,1011.3,1,36
28,75,1010.3,1,25
27.7,72.6,1010.6,1,48
26.5,79.7,1009.4,1,14
27.6,69.9,1008.5,1,2
27.3,67.9,1008.5,1,22
27.3,67,1009.6,1,5
28.2,66.8,1008.8,1,21
29.4,73,1009.1,1,26
28.2,65.2,1010,1,38
27.4,64.5,1012.2,1,16
27.5,69.5,1009.4,1,36
30.3,71.8,1009.9,1,9
30,61.8,1011.5,1,18
28.3,64.8,1013,1,41
27.7,59.3,1012.8,1,34
28.3,66.6,1011.1,1,24
27.1,63.3,1012.6,1,20
28,66,1009.6,1,24
30.6,68.7,1008.7,1,18
30.3,68.6,1007.5,1,14
29.8,80,1008,1,39
29,77.5,1008.9,1,17
30,76.4,1008.4,1,7
30.7,67,1008.9,1,2
30.3,74.6,1007.3,1,15
30.2,77.8,1008.8,1,27
31.4,66.6,1009.1,1,8
31.1,68.9,1009,1,29
30,60,1009.6,1,38
31.2,59,1008.7,1,8
30.9,63,1009.6,1,39
31,63.3,1007.2,1,5
30.7,71,1005.8,1,20
30.3,78.8,1007.1,1,9
29.9,83.8,1004.4,1,18
29.2,89.8,1006.3,1,21
28.8,96.6,1006.1,1,33
29.3,87.4,1006.2,1,26
30,80.8,1007.9,1,26
30.8,74.5,1006.2,1,22
30.2,80.5,1006.5,1,15
30.8,79,1008,1,1
30.8,72.9,1007.5,1,14
27.8,95.3,1008.1,1,30
31.2,72.5,1008.8,1,43
29.2,87.3,1009,1,36
30.6,73.8,1006.4,1,28
29.5,86.5,1006.3,1,40
28.3,90.4,1008.3,1,28
29.7,79.4,1007,1,43
28.8,89.1,1008,1,27
27.8,90,1007.6,1,34
28.6,86,1006.6,1,46
28.1,88,1008,1,35
29.3,80.4,1009.3,1,9
29,80.8,1008.5,1,11
28.5,86.9,1008.3,1,41
28,88.5,1007.5,1,23
28,89.5,1007,1,45
29,81.9,1008.6,1,25
27.4,93.8,1006.8,1,29
27.7,90.8,1006.8,1,14
28.1,86.3,1004.3,1,31
26.8,97.6,1004.4,1,14
29,92.3,1003.5,1,36
29,88.8,1006,1,5
27.3,94.5,1003.7,1,36
28.9,91.4,1007.3,1,26
29.1,90.7,1008,1,25
30,80.3,1007.7,1,5
29.9,75.8,1007.9,1,7
30.1,77.7,1006.9,1,21
31.3,65.6,1006.2,1,28
28.1,88.5,1005,1,13
27.3,94.7,1002.5,1,21
27,88,1007.9,1,11
28.5,84.8,1008.2,1,8
28,91.2,1003.6,1,43
28.2,92.6,1004.3,1,18
29.6,88.8,1007.7,1,44
27.1,94.6,1007.3,1,36
28.4,72.1,1007.9,1,1
28.7,75.7,1006.1,1,29
26,98.8,1001.3,1,18
28.5,92.7,1006.5,1,4
29.4,85.4,968.5,1,35
28.9,89.6,1006.6,1,21
29.7,85.4,1005.9,1,25
30,79.3,1008.3,1,12
27.5,96,1007.1,1,47
29,93.2,1007.8,1,32
27.8,94.6,1007.8,1,32
28,85.8,1008.6,1,11
27.8,94.8,1007,1,26
27.2,98.8,1004.1,1,6
27.2,93.8,1004.9,1,31
28.8,96.2,1000.5,1,41
27.8,95.5,1003.9,1,16
28.5,88.4,1004.3,1,30
27.6,87.8,1002.9,1,22
29.2,87.4,1005,1,14
27.3,70.8,1009.4,1,42
28.1,83.9,1008,1,36
28.2,87.5,1008.9,1,32
26.3,98,1007.8,1,24
26.6,96.3,1005.8,1,34
27,97.4,1007.2,1,11
29.5,76.8,1008.1,1,38
26.3,96.6,1005.5,1,8
28.5,83.6,1007.2,1,9
29.2,85.9,1008.2,1,36
28.5,84.3,1008.4,1,8
29.2,83.9,1008.3,1,37
28.8,82.6,1008.7,1,23
29.1,76,1007.9,1,4
27.6,76.8,1009.7,1,34
29.5,72.8,1008.3,1,45
28.3,92.3,1006.5,1,28
29.4,81.5,1007.9,1,11
27.5,90.7,1007.5,1,19
27.8,93.5,1007.6,1,37
27.2,96.2,1008.1,1,42
26.5,94.2,1008.2,1,47
27.1,78.5,1008.2,1,37
26.4,65.3,1007,1,28
25.8,97.8,1008.6,1,32
26.8,85.2,1010.8,1,2
28.5,83,1007.5,1,5
27.4,89,1009.3,1,32
27.5,78.3,1010.9,1,44
26.2,74.4,1009.8,1,14
26.8,67.2,1008.2,1,36
27.3,80,1009.4,1,1
