prev1	prev2	prev3	prev4	prev5	prev6	prev7	prevy8	prev9	result
49	31	40	44	43	47	42	41	46	49
31	40	44	43	47	42	41	46	49	47
40	44	43	47	42	41	46	49	47	47
44	43	47	42	41	46	49	47	47	48
43	47	42	41	46	49	47	47	48	46
47	42	41	46	49	47	47	48	46	48
42	41	46	49	47	47	48	46	48	49
41	46	49	47	47	48	46	48	49	47
46	49	47	47	48	46	48	49	47	36
49	47	47	48	46	48	49	47	36	47
47	47	48	46	48	49	47	36	47	46
47	48	46	48	49	47	36	47	46	34
48	46	48	49	47	36	47	46	34	44
46	48	49	47	36	47	46	34	44	49
48	49	47	36	47	46	34	44	49	45
49	47	36	47	46	34	44	49	45	39
47	36	47	46	34	44	49	45	39	32
36	47	46	34	44	49	45	39	32	47
47	46	34	44	49	45	39	32	47	36
46	34	44	49	45	39	32	47	36	38
34	44	49	45	39	32	47	36	38	48
44	49	45	39	32	47	36	38	48	49
49	45	39	32	47	36	38	48	49	48
45	39	32	47	36	38	48	49	48	34
39	32	47	36	38	48	49	48	34	25
32	47	36	38	48	49	48	34	25	42
47	36	38	48	49	48	34	25	42	39
36	38	48	49	48	34	25	42	39	44
38	48	49	48	34	25	42	39	44	47
48	49	48	34	25	42	39	44	47	42
49	48	34	25	42	39	44	47	42	33
48	34	25	42	39	44	47	42	33	45
34	25	42	39	44	47	42	33	45	40
25	42	39	44	47	42	33	45	40	41
42	39	44	47	42	33	45	40	41	36
39	44	47	42	33	45	40	41	36	41
44	47	42	33	45	40	41	36	41	30
47	42	33	45	40	41	36	41	30	48
42	33	45	40	41	36	41	30	48	47
33	45	40	41	36	41	30	48	47	44
45	40	41	36	41	30	48	47	44	26
40	41	36	41	30	48	47	44	26	46
41	36	41	30	48	47	44	26	46	46
36	41	30	48	47	44	26	46	46	44
41	30	48	47	44	26	46	46	44	41
30	48	47	44	26	46	46	44	41	31
48	47	44	26	46	46	44	41	31	37
47	44	26	46	46	44	41	31	37	49
44	26	46	46	44	41	31	37	49	46
26	46	46	44	41	31	37	49	46	37
46	46	44	41	31	37	49	46	37	42
46	44	41	31	37	49	46	37	42	48
44	41	31	37	49	46	37	42	48	46
41	31	37	49	46	37	42	48	46	45
31	37	49	46	37	42	48	46	45	43
37	49	46	37	42	48	46	45	43	33
49	46	37	42	48	46	45	43	33	43
46	37	42	48	46	45	43	33	43	48
37	42	48	46	45	43	33	43	48	40
42	48	46	45	43	33	43	48	40	20
48	46	45	43	33	43	48	40	20	34
46	45	43	33	43	48	40	20	34	47
45	43	33	43	48	40	20	34	47	49
43	33	43	48	40	20	34	47	49	40
33	43	48	40	20	34	47	49	40	47
43	48	40	20	34	47	49	40	47	40
48	40	20	34	47	49	40	47	40	40
40	20	34	47	49	40	47	40	40	46
20	34	47	49	40	47	40	40	46	41
34	47	49	40	47	40	40	46	41	44
47	49	40	47	40	40	46	41	44	47
49	40	47	40	40	46	41	44	47	43
40	47	40	40	46	41	44	47	43	38
47	40	40	46	41	44	47	43	38	48
40	40	46	41	44	47	43	38	48	31
40	46	41	44	47	43	38	48	31	43
46	41	44	47	43	38	48	31	43	40
41	44	47	43	38	48	31	43	40	38
44	47	43	38	48	31	43	40	38	47
47	43	38	48	31	43	40	38	47	39
43	38	48	31	43	40	38	47	39	45
38	48	31	43	40	38	47	39	45	26
48	31	43	40	38	47	39	45	26	46
31	43	40	38	47	39	45	26	46	47
43	40	38	47	39	45	26	46	47	49
40	38	47	39	45	26	46	47	49	26
38	47	39	45	26	46	47	49	26	40
47	39	45	26	46	47	49	26	40	46
39	45	26	46	47	49	26	40	46	39
45	26	46	47	49	26	40	46	39	48
26	46	47	49	26	40	46	39	48	46
46	47	49	26	40	46	39	48	46	46
47	49	26	40	46	39	48	46	46	45
49	26	40	46	39	48	46	46	45	43
26	40	46	39	48	46	46	45	43	46
40	46	39	48	46	46	45	43	46	49
46	39	48	46	46	45	43	46	49	42
39	48	46	46	45	43	46	49	42	27
48	46	46	45	43	46	49	42	27	43
46	46	45	43	46	49	42	27	43	48
46	45	43	46	49	42	27	43	48	47
45	43	46	49	42	27	43	48	47	43
43	46	49	42	27	43	48	47	43	41
46	49	42	27	43	48	47	43	41	43
49	42	27	43	48	47	43	41	43	45
42	27	43	48	47	43	41	43	45	46
27	43	48	47	43	41	43	45	46	34
43	48	47	43	41	43	45	46	34	48
48	47	43	41	43	45	46	34	48	33
47	43	41	43	45	46	34	48	33	46
43	41	43	45	46	34	48	33	46	44
41	43	45	46	34	48	33	46	44	49
43	45	46	34	48	33	46	44	49	49
45	46	34	48	33	46	44	49	49	43
