date	results	slot 1	slot 2	slot 3	slot 4	slot 5	slot 6	sorted1	sorted2	sorted3	sorted4	sorted5	sorted6
1/3/2022	01-39-02-24-16-33	1	39	2	24	16	33	1	2	16	24	33	39
1/5/2022	50-40-54-53-44-29	50	40	54	53	44	29	29	40	44	50	53	54
1/8/2022	18-43-06-41-44-48	18	43	6	41	44	48	6	18	41	43	44	48
1/10/2022	50-44-03-37-41-14	50	44	3	37	41	14	3	14	37	41	44	50
1/12/2022	45-29-40-14-32-05	45	29	40	14	32	5	5	14	29	32	40	45
1/15/2022	39-29-09-21-19-20	39	29	9	21	19	20	9	19	20	21	29	39
1/17/2022	13-17-25-06-23-19	13	17	25	6	23	19	6	13	17	19	23	25
1/19/2022	49-11-51-13-45-18	49	11	51	13	45	18	11	13	18	45	49	51
1/22/2022	41-17-49-39-06-32	41	17	49	39	6	32	6	17	32	39	41	49
1/24/2022	04-36-28-29-17-49	4	36	28	29	17	49	4	17	28	29	36	49
1/26/2022	12-29-15-06-54-05	12	29	15	6	54	5	5	6	12	15	29	54
1/29/2022	28-55-52-22-41-35	28	55	52	22	41	35	22	28	35	41	52	55
1/31/2022	48-30-19-38-34-02	48	30	19	38	34	2	2	19	30	34	38	48
2/2/2022	24-32-07-11-09-49	24	32	7	11	9	49	7	9	11	24	32	49
2/5/2022	33-34-41-36-05-39	33	34	41	36	5	39	5	33	34	36	39	41
2/7/2022	29-17-38-07-06-41	29	17	38	7	6	41	6	7	17	29	38	41
2/9/2022	52-17-55-45-21-49	52	17	55	45	21	49	17	21	45	49	52	55
2/12/2022	55-33-36-46-02-32	55	33	36	46	2	32	2	32	33	36	46	55
2/14/2022	46-54-13-01-38-30	46	54	13	1	38	30	1	13	30	38	46	54
2/16/2022	22-09-02-08-06-15	22	9	2	8	6	15	2	6	8	9	15	22
2/19/2022	54-47-07-46-06-39	54	47	7	46	6	39	6	7	39	46	47	54
2/21/2022	48-43-12-09-31-36	48	43	12	9	31	36	9	12	31	36	43	48
2/23/2022	44-48-50-37-07-19	44	48	50	37	7	19	7	19	37	44	48	50
2/26/2022	09-16-46-05-43-54	9	16	46	5	43	54	5	9	16	43	46	54
2/28/2022	43-15-55-35-49-52	43	15	55	35	49	52	15	35	43	49	52	55
3/2/2022	01-55-11-20-25-28	1	55	11	20	25	28	1	11	20	25	28	55
3/5/2022	43-15-39-42-13-49	43	15	39	42	13	49	13	15	39	42	43	49
3/7/2022	48-53-34-24-44-16	48	53	34	24	44	16	16	24	34	44	48	53
3/9/2022	46-29-30-34-04-20	46	29	30	34	4	20	4	20	29	30	34	46
3/12/2022	49-53-32-06-44-10	49	53	32	6	44	10	6	10	32	44	49	53
3/14/2022	09-17-45-39-35-15	9	17	45	39	35	15	9	15	17	35	39	45
3/16/2022	06-29-32-47-09-20	6	29	32	47	9	20	6	9	20	29	32	47
3/19/2022	16-24-33-15-30-37	16	24	33	15	30	37	15	16	24	30	33	37
3/21/2022	10-15-36-08-23-05	10	15	36	8	23	5	5	8	10	15	23	36
3/23/2022	24-36-35-07-23-10	24	36	35	7	23	10	7	10	23	24	35	36
3/26/2022	27-51-16-28-04-18	27	51	16	28	4	18	4	16	18	27	28	51
3/28/2022	29-51-23-34-55-08	29	51	23	34	55	8	8	23	29	34	51	55
3/30/2022	52-17-19-10-54-22	52	17	19	10	54	22	10	17	19	22	52	54
4/2/2022	17-35-49-33-16-31	17	35	49	33	16	31	16	17	31	33	35	49
4/4/2022	02-25-37-01-53-48	2	25	37	1	53	48	1	2	25	37	48	53
4/6/2022	43-26-53-44-06-23	43	26	53	44	6	23	6	23	26	43	44	53
4/9/2022	50-44-17-52-01-41	50	44	17	52	1	41	1	17	41	44	50	52
4/11/2022	55-32-24-37-40-04	55	32	24	37	40	4	4	24	32	37	40	55
4/13/2022	30-45-55-21-06-51	30	45	55	21	6	51	6	21	30	45	51	55
4/18/2022	24-18-52-42-19-37	24	18	52	42	19	37	18	19	24	37	42	52
4/20/2022	15-46-42-43-27-34	15	46	42	43	27	34	15	27	34	42	43	46
4/23/2022	20-39-48-15-24-25	20	39	48	15	24	25	15	20	24	25	39	48
4/25/2022	43-10-30-21-50-05	43	10	30	21	50	5	5	10	21	30	43	50
4/27/2022	47-54-38-23-35-52	47	54	38	23	35	52	23	35	38	47	52	54
4/30/2022	50-37-36-06-09-20	50	37	36	6	9	20	6	9	20	36	37	50
5/2/2022	50-09-29-36-37-52	50	9	29	36	37	52	9	29	36	37	50	52
5/4/2022	23-42-34-25-48-41	23	42	34	25	48	41	23	25	34	41	42	48
