05-03-10-17-43-49,11/4/2021,"125,692,139.20",1,3,5,10,17,43,49
45-19-24-20-44-26,11/7/2021,"15,840,000.00",0,19,20,24,26,44,45
21-41-19-01-08-38,11/9/2021,"15,840,000.00",1,1,8,19,21,38,41
16-46-38-12-15-35,11/11/2021,"15,840,000.00",0,12,15,16,35,38,46
23-30-38-21-47-44,11/14/2021,"15,840,000.00",0,21,23,30,38,44,47
04-16-05-12-13-42,11/16/2021,"15,840,000.00",0,4,5,12,13,16,42
01-27-33-25-26-08,11/18/2021,"15,840,000.00",0,1,8,25,26,27,33
08-22-48-13-16-38,11/21/2021,"19,258,656.60",0,8,13,16,22,38,48
30-13-49-45-37-46,11/23/2021,"22,725,901.60",0,13,30,37,45,46,49
45-27-01-20-39-16,11/25/2021,"27,444,921.80",0,1,16,20,27,39,45
09-33-47-27-48-13,11/28/2021,"31,792,850.60",0,9,13,27,33,47,48
19-15-48-46-40-36,11/30/2021,"35,457,422.60",0,15,19,36,40,46,48
01-07-29-16-17-12,12/2/2021,"40,350,451.60",0,1,7,12,16,17,29
08-26-48-22-27-19,12/5/2021,"45,045,300.20",0,8,19,22,26,27,48
33-40-05-46-13-38,12/7/2021,"49,281,828.40",0,5,13,33,38,40,46
12-03-21-29-31-43,12/9/2021,"54,314,585.20",0,3,12,21,29,31,43
28-45-36-02-16-14,12/12/2021,"59,654,675.60",0,2,14,16,28,36,45
05-20-04-44-16-18,12/14/2021,"64,628,064.80",0,4,5,16,18,20,44
09-16-47-43-17-10,12/16/2021,"69,942,001.60",0,9,10,16,17,43,47
04-35-12-48-18-49,12/19/2021,"74,715,890.20",0,4,12,18,35,48,49
11-34-03-22-16-04,12/21/2021,"79,619,495.40",0,3,4,11,16,22,34
18-11-22-14-43-30,12/23/2021,"85,364,044.20",0,11,14,18,22,30,43
31-39-35-03-05-25,12/26/2021,"90,310,805.20",0,3,5,25,31,35,39
19-27-33-13-45-44,12/28/2021,"95,981,481.40",0,13,19,27,33,44,45
37-02-34-01-24-23,12/30/2021,"102,533,940.40",0,1,2,23,24,34,37
24-31-43-28-30-42,1/2/2022,"108,246,513.20",0,24,28,30,31,42,43
26-16-22-08-06-27,1/6/2022,"121,338,871.60",0,6,8,16,22,26,27
22-39-27-14-40-20,1/4/2022,"114,558,335.20",0,14,20,22,27,39,40
38-49-09-02-35-31,1/11/2022,"130,613,332.40",0,2,9,31,35,38,49
03-47-07-41-13-28,1/13/2022,"135,335,733.60",0,3,7,13,28,41,47
02-05-04-31-01-46,1/16/2022,"142,679,606.40",1,1,2,4,5,31,46
46-47-07-21-03-36,1/18/2022,"15,840,000.00",0,3,7,21,36,46,47
16-18-31-23-39-29,1/20/2022,"15,840,000.00",0,16,18,23,29,31,39
04-06-46-38-12-33,1/23/2022,"15,840,000.00",0,4,6,12,33,38,46
36-40-26-03-23-10,1/25/2022,"15,840,000.00",0,3,10,23,26,36,40
36-14-39-24-31-12,1/27/2022,"15,898,616.00",0,12,14,24,31,36,39
47-38-08-34-30-06,1/30/2022,"19,298,787.80",0,6,8,30,34,38,47
41-12-39-44-26-16,2/1/2022,"21,987,686.20",0,12,16,26,39,41,44
09-23-19-44-24-14,2/3/2022,"25,252,455.40",0,9,14,19,23,24,44
36-29-35-16-03-17,2/6/2022,"29,073,809.20",1,3,16,17,29,35,36
12-15-40-48-32-17,2/8/2022,"15,840,000.00",0,12,15,17,32,40,48
44-46-18-47-08-49,1/9/2022,"129,125,463.60",0,8,18,44,46,47,49
15-32-05-29-37-38,2/10/2022,"15,840,000.00",0,5,15,29,32,37,38
39-44-45-10-07-43,2/13/2022,"15,840,000.00",0,7,10,39,43,44,45
13-38-08-29-33-34,2/15/2022,"15,840,000.00",0,8,13,29,33,34,38
24-36-29-04-43-34,2/17/2022,"16,368,985.80",0,4,24,29,34,36,43
43-14-11-19-01-39,2/20/2022,"19,907,604.80",0,1,11,14,19,39,43
36-08-49-47-39-24,2/22/2022,"22,608,529.60",0,8,24,36,39,47,49
03-16-46-40-27-42,2/24/2022,"25,861,864.80",0,3,16,27,40,42,46
09-35-39-41-36-40,2/27/2022,"29,538,641.60",0,9,35,36,39,40,41
40-22-37-01-34-08,3/1/2022,"32,936,252.20",0,1,8,22,34,37,40
